Time,PercentageEVcharging,Powerperchargingevent,Continousnoofchargingevents,Totalchargingpower,charging_duration_Min,Energychargingevent
4.17,4.525627705,1.31273891,26.69166224,35.03918359,30.39798503,0.665076962
4.68,4.572065432,1.326209,26.96554692,35.76195101,31.02501657,0.685760936
5.16,4.617841653,1.339487208,27.23553012,36.48164419,31.64938107,0.706565685
5.18,4.661368753,1.352113018,27.49224824,37.17262675,32.24883789,0.726734559
5.62,4.715810703,1.367904876,27.81334097,38.04600472,33.0065305,0.752496567
5.95,4.788245619,1.388915913,28.24055426,39.2237552,34.02827924,0.787706975
6.09,4.868221704,1.412114401,28.71224456,40.54497401,35.17449286,0.827840132
6.27,4.992650998,1.448207333,29.44611506,42.64407976,36.99555656,0.892953938
6.32,5.138909993,1.490632359,30.30873478,45.17918082,39.19486476,0.973752229
6.49,5.300185175,1.537413098,31.25991834,48.0594079,41.6935845,1.068337715
6.68,5.494601813,1.593807106,32.40656662,51.64981616,44.80841667,1.190266215
6.68,5.701851668,1.653923617,33.62890383,55.61963826,48.25240653,1.330096579
6.91,5.932518839,1.720832738,34.98935383,60.21082554,52.23545716,1.498141413
7,6.170991781,1.790006062,36.39584142,65.14877676,56.51934029,1.686166028
7.05,6.416337771,1.861173035,37.84286551,70.43212087,61.10286646,1.895383457
7.19,6.679617192,1.93754192,39.39565903,76.33074083,66.22017065,2.138405943
7.23,6.96002962,2.018880538,41.04950117,82.87403902,71.89676069,2.419182849
7.28,7.257178151,2.105073762,42.80205104,90.10147459,78.16686906,2.742450418
7.32,7.561801702,2.193435247,44.59868776,97.82433372,84.86677848,3.102496387
7.41,7.891760935,2.289145799,46.5447516,106.5477226,92.43469008,3.526608041
7.61,8.234817989,2.388655607,48.56806496,116.0123807,100.6456843,4.006797969
8.18,8.576882784,2.487877592,50.58552608,125.8505968,109.1807561,4.527139277
8.55,8.941438785,2.593623552,52.73563791,136.7763925,118.6593495,5.129294727
8.68,9.314660516,2.701883162,54.93685928,148.432975,128.7719316,5.798778563
9.1,9.704618351,2.814997377,57.23678837,161.1214091,139.7796889,6.557990959
9.36,10.09728836,2.928898306,59.55271357,174.4238419,151.3201162,7.386687202
9.42,10.46171206,3.03460589,61.7020451,187.2413895,162.439885,8.215683864
9.64,10.81006116,3.13565075,63.75657039,199.9183378,173.437678,9.063999751
9.81,11.13724207,3.230555399,65.68624797,212.203063,184.0952006,9.912162407
9.82,11.49313234,3.333787711,67.78525026,225.9816343,196.0486984,10.89307902
9.95,11.86754479,3.442392707,69.99349431,240.9450943,209.0301377,11.99273036
10.01,12.25770107,3.555564486,72.29459385,257.0480904,223.000173,13.21485826
10.04,12.6681656,3.674627031,74.71546917,274.5514826,238.1851117,14.5873575
10.13,13.10806714,3.802228308,77.30996085,293.9501216,255.0142577,16.16037383
10.14,13.5656309,3.934952824,80.00862235,314.8301544,273.1285761,17.91246769
10.36,14.04502435,4.074009433,82.83603305,337.4747801,292.7737539,19.87938392
10.68,14.53791253,4.216980428,85.74303418,361.576697,313.6831939,22.04659815
10.84,15.08861635,4.376721876,88.99102565,389.4889687,337.8982792,24.64811317
11.04,15.61391833,4.52909507,92.08919985,417.080741,361.8353175,27.31310921
11.24,16.16753277,4.689680797,95.35435788,447.181501,387.9490097,30.32261701
11.32,16.73675875,4.85479493,98.7115911,479.224532,415.7477046,33.63949748
11.44,17.32033941,5.024072895,102.1534867,513.2265635,445.245916,37.28246563
11.59,17.9170179,5.197150115,105.6726318,549.1965305,476.4513953,41.26982373
11.65,18.51964994,5.37195427,109.2268903,586.7618599,509.0409194,45.57574235
